crop_type,rainfall,temperature,fertilizer,nitrogen,phosphorus,potassium,total_npk,n_proportion,p_proportion,temperature_squared,rainfall_fertilizer_interaction,yield
Soybean,450.0,39.0,65.0,70.0,20.0,19.0,109.0,0.6422018348623854,0.1834862385321101,1521.0,29250.0,8.5
Sorghum,1300.0,28.0,76.0,77.0,22.0,20.0,119.0,0.6470588235294118,0.18487394957983194,784.0,98800.0,9.0
Sorghum,450.0,36.0,70.0,72.0,25.0,18.0,115.0,0.6260869565217392,0.21739130434782608,1296.0,31500.0,8.0
Corn,1250.0,28.0,77.0,76.0,22.0,19.0,117.0,0.6495726495726496,0.18803418803418803,784.0,96250.0,10.0
Corn,475.0,39.0,60.0,70.0,20.0,17.0,107.0,0.6542056074766355,0.18691588785046728,1521.0,28500.0,8.0
Corn,1200.0,28.0,75.0,77.0,23.0,19.0,119.0,0.6470588235294118,0.19327731092436976,784.0,90000.0,11.0
Wheat,410.0,40.0,52.0,62.0,19.0,16.0,97.0,0.6391752577319587,0.1958762886597938,1600.0,21320.0,6.5
Barley,1225.0,28.0,75.0,75.0,23.0,20.0,118.0,0.635593220338983,0.19491525423728814,784.0,91875.0,11.0
Corn,460.0,39.0,60.0,60.0,20.0,16.0,96.0,0.625,0.20833333333333334,1521.0,27600.0,7.0
Sorghum,1150.0,29.0,78.0,77.0,21.0,18.0,116.0,0.6637931034482759,0.1810344827586207,841.0,89700.0,9.0
Barley,475.0,38.0,65.0,60.0,20.0,16.0,96.0,0.625,0.20833333333333334,1444.0,30875.0,8.0
Wheat,1250.0,28.0,77.0,78.0,23.0,20.0,121.0,0.6446280991735537,0.19008264462809918,784.0,96250.0,9.0
Barley,425.0,39.0,60.0,65.0,19.0,17.0,101.0,0.6435643564356436,0.18811881188118812,1521.0,25500.0,6.5
Rice,1220.0,28.0,79.0,77.0,23.0,21.0,121.0,0.6363636363636364,0.19008264462809918,784.0,96380.0,10.5
Barley,480.0,36.0,65.0,68.0,21.0,16.0,105.0,0.6476190476190476,0.2,1296.0,31200.0,7.0
Barley,502.0,20.0,98.0,60.0,18.0,23.0,101.0,0.594059405940594,0.1782178217821782,400.0,49196.0,10.2
Sorghum,835.0,35.0,74.0,72.0,26.0,18.0,116.0,0.6206896551724138,0.22413793103448276,1225.0,61790.0,10.4
Barley,1260.0,32.0,82.0,80.0,22.0,11.0,113.0,0.7079646017699115,0.19469026548672566,1024.0,103320.0,8.6
Sorghum,670.0,29.0,87.0,85.0,16.0,14.0,115.0,0.7391304347826086,0.1391304347826087,841.0,58290.0,8.5
Wheat,506.0,31.0,55.0,77.0,23.0,15.0,115.0,0.6695652173913044,0.2,961.0,27830.0,13.3
Soybean,471.0,21.0,93.0,72.0,27.0,16.0,115.0,0.6260869565217392,0.23478260869565218,441.0,43803.0,12.9
Corn,1100.0,22.0,94.0,80.0,28.0,14.0,122.0,0.6557377049180327,0.22950819672131148,484.0,103400.0,8.1
Rice,420.0,29.0,81.0,80.0,20.0,18.0,118.0,0.6779661016949152,0.1694915254237288,841.0,34020.0,14.1
Rice,1014.0,21.0,94.0,77.0,23.0,10.0,110.0,0.7,0.20909090909090908,441.0,95316.0,14.5
Wheat,521.0,32.0,96.0,64.0,22.0,16.0,102.0,0.6274509803921569,0.21568627450980393,1024.0,50016.0,8.3
Corn,866.0,32.0,70.0,72.0,29.0,19.0,120.0,0.6,0.24166666666666667,1024.0,60620.0,8.5
Corn,614.0,37.0,65.0,63.0,29.0,16.0,108.0,0.5833333333333334,0.26851851851851855,1369.0,39910.0,10.1
Wheat,730.0,22.0,70.0,76.0,21.0,13.0,110.0,0.6909090909090909,0.19090909090909092,484.0,51100.0,14.4
Corn,858.0,26.0,60.0,62.0,27.0,18.0,107.0,0.5794392523364486,0.2523364485981308,676.0,51480.0,13.8
Soybean,487.0,33.0,86.0,76.0,28.0,23.0,127.0,0.5984251968503937,0.2204724409448819,1089.0,41882.0,6.0
Wheat,772.0,39.0,85.0,87.0,15.0,21.0,123.0,0.7073170731707317,0.12195121951219512,1521.0,65620.0,8.9
Soybean,499.0,36.0,84.0,70.0,28.0,20.0,118.0,0.5932203389830508,0.23728813559322035,1296.0,41916.0,10.5
Corn,1271.0,31.0,68.0,80.0,26.0,14.0,120.0,0.6666666666666666,0.21666666666666667,961.0,86428.0,10.0
Wheat,1063.0,35.0,69.0,79.0,17.0,13.0,109.0,0.7247706422018348,0.1559633027522936,1225.0,73347.0,6.9
Corn,530.0,31.0,67.0,82.0,25.0,22.0,129.0,0.6356589147286822,0.1937984496124031,961.0,35510.0,13.6
Wheat,1061.0,34.0,96.0,80.0,28.0,16.0,124.0,0.6451612903225806,0.22580645161290322,1156.0,101856.0,11.8
Corn,708.0,29.0,90.0,85.0,16.0,13.0,114.0,0.7456140350877193,0.14035087719298245,841.0,63720.0,13.4
Soybean,1169.0,26.0,98.0,89.0,19.0,24.0,132.0,0.6742424242424242,0.14393939393939395,676.0,114562.0,13.6
Soybean,743.0,39.0,63.0,63.0,29.0,12.0,104.0,0.6057692307692307,0.27884615384615385,1521.0,46809.0,12.5
Corn,891.0,24.0,64.0,61.0,19.0,18.0,98.0,0.6224489795918368,0.19387755102040816,576.0,57024.0,9.4
Wheat,813.0,20.0,80.0,79.0,19.0,20.0,118.0,0.6694915254237288,0.16101694915254236,400.0,65040.0,11.1
Rice,1205.0,36.0,50.0,75.0,18.0,17.0,110.0,0.6818181818181818,0.16363636363636364,1296.0,60250.0,6.6
Soybean,785.0,22.0,52.0,87.0,19.0,10.0,116.0,0.75,0.16379310344827586,484.0,40820.0,11.7
Soybean,591.0,32.0,65.0,77.0,17.0,16.0,110.0,0.7,0.15454545454545454,1024.0,38415.0,6.8
Sorghum,1355.0,33.0,72.0,67.0,26.0,18.0,111.0,0.6036036036036037,0.23423423423423423,1089.0,97560.0,11.9
Rice,676.0,37.0,60.0,62.0,15.0,17.0,94.0,0.6595744680851063,0.1595744680851064,1369.0,40560.0,7.3
Corn,560.0,23.0,61.0,68.0,19.0,17.0,104.0,0.6538461538461539,0.18269230769230768,529.0,34160.0,6.2
Wheat,859.0,37.0,59.0,88.0,27.0,22.0,137.0,0.6423357664233577,0.19708029197080293,1369.0,50681.0,6.7
Sorghum,713.0,24.0,81.0,79.0,23.0,15.0,117.0,0.6752136752136753,0.19658119658119658,576.0,57753.0,5.0
Corn,421.0,35.0,65.0,88.0,27.0,20.0,135.0,0.6518518518518519,0.2,1225.0,27365.0,12.2
Barley,652.0,20.0,57.0,65.0,23.0,13.0,101.0,0.6435643564356436,0.22772277227722773,400.0,37164.0,12.3
Soybean,1147.0,33.0,87.0,69.0,18.0,17.0,104.0,0.6634615384615384,0.17307692307692307,1089.0,99789.0,10.1
Barley,1256.0,34.0,61.0,80.0,17.0,12.0,109.0,0.7339449541284404,0.1559633027522936,1156.0,76616.0,6.6
Soybean,960.0,28.0,73.0,69.0,15.0,22.0,106.0,0.6509433962264151,0.14150943396226415,784.0,70080.0,5.8
Soybean,874.0,34.0,77.0,72.0,16.0,18.0,106.0,0.6792452830188679,0.1509433962264151,1156.0,67298.0,5.2
Barley,458.0,36.0,57.0,76.0,22.0,22.0,120.0,0.6333333333333333,0.18333333333333332,1296.0,26106.0,6.7
Barley,910.0,23.0,77.0,68.0,15.0,11.0,94.0,0.723404255319149,0.1595744680851064,529.0,70070.0,13.9
Corn,1081.0,31.0,85.0,76.0,22.0,11.0,109.0,0.6972477064220184,0.2018348623853211,961.0,91885.0,7.4
Sorghum,875.0,24.0,75.0,83.0,27.0,21.0,131.0,0.6335877862595419,0.20610687022900764,576.0,65625.0,8.5
Sorghum,1099.0,24.0,57.0,68.0,21.0,22.0,111.0,0.6126126126126126,0.1891891891891892,576.0,62643.0,6.1
Barley,1375.0,30.0,99.0,68.0,29.0,24.0,121.0,0.5619834710743802,0.2396694214876033,900.0,136125.0,7.2
Corn,1182.0,25.0,77.0,60.0,22.0,21.0,103.0,0.5825242718446602,0.21359223300970873,625.0,91014.0,10.2
Sorghum,589.0,26.0,77.0,61.0,26.0,16.0,103.0,0.5922330097087378,0.2524271844660194,676.0,45353.0,11.1
Corn,1357.0,33.0,86.0,87.0,20.0,21.0,128.0,0.6796875,0.15625,1089.0,116702.0,7.5
Corn,1086.0,30.0,90.0,75.0,26.0,19.0,120.0,0.625,0.21666666666666667,900.0,97740.0,5.6
Soybean,1357.0,32.0,85.0,88.0,28.0,13.0,129.0,0.6821705426356589,0.21705426356589147,1024.0,115345.0,8.9
Sorghum,962.0,21.0,76.0,60.0,29.0,19.0,108.0,0.5555555555555556,0.26851851851851855,441.0,73112.0,7.3
Sorghum,1275.0,26.0,66.0,69.0,29.0,17.0,115.0,0.6,0.25217391304347825,676.0,84150.0,7.2
Soybean,966.0,39.0,58.0,77.0,23.0,18.0,118.0,0.652542372881356,0.19491525423728814,1521.0,56028.0,14.6
Barley,643.0,23.0,82.0,85.0,17.0,16.0,118.0,0.7203389830508474,0.1440677966101695,529.0,52726.0,11.2
Soybean,1231.0,27.0,69.0,87.0,24.0,14.0,125.0,0.696,0.192,729.0,84939.0,10.6
Sorghum,904.0,39.0,62.0,67.0,18.0,17.0,102.0,0.6568627450980392,0.17647058823529413,1521.0,56048.0,9.2
Sorghum,530.0,38.0,77.0,80.0,27.0,13.0,120.0,0.6666666666666666,0.225,1444.0,40810.0,9.3
Barley,884.0,32.0,97.0,87.0,20.0,11.0,118.0,0.7372881355932204,0.1694915254237288,1024.0,85748.0,10.4
Soybean,1218.0,33.0,78.0,70.0,22.0,20.0,112.0,0.625,0.19642857142857142,1089.0,95004.0,12.0
Wheat,1046.0,29.0,62.0,82.0,19.0,24.0,125.0,0.656,0.152,841.0,64852.0,12.0
Wheat,420.0,30.0,95.0,61.0,17.0,21.0,99.0,0.6161616161616161,0.1717171717171717,900.0,39900.0,6.7
Barley,1240.0,21.0,84.0,67.0,20.0,15.0,102.0,0.6568627450980392,0.19607843137254902,441.0,104160.0,10.0
Soybean,566.0,28.0,55.0,86.0,18.0,18.0,122.0,0.7049180327868853,0.14754098360655737,784.0,31130.0,9.1
Soybean,673.0,36.0,67.0,81.0,23.0,10.0,114.0,0.7105263157894737,0.20175438596491227,1296.0,45091.0,13.7
Corn,787.0,22.0,54.0,67.0,27.0,20.0,114.0,0.5877192982456141,0.23684210526315788,484.0,42498.0,11.3
Sorghum,1000.0,25.0,96.0,76.0,17.0,19.0,112.0,0.6785714285714286,0.15178571428571427,625.0,96000.0,10.3
Rice,715.0,24.0,74.0,74.0,18.0,21.0,113.0,0.6548672566371682,0.1592920353982301,576.0,52910.0,6.2
Barley,413.0,24.0,51.0,76.0,21.0,16.0,113.0,0.672566371681416,0.18584070796460178,576.0,21063.0,11.1
Rice,641.0,34.0,59.0,87.0,21.0,19.0,127.0,0.6850393700787402,0.16535433070866143,1156.0,37819.0,6.2
Rice,1176.0,36.0,79.0,82.0,26.0,18.0,126.0,0.6507936507936508,0.20634920634920634,1296.0,92904.0,8.4
Barley,745.0,28.0,99.0,83.0,26.0,19.0,128.0,0.6484375,0.203125,784.0,73755.0,6.4
Soybean,964.0,22.0,94.0,72.0,18.0,18.0,108.0,0.6666666666666666,0.16666666666666666,484.0,90616.0,11.9
Barley,1297.0,39.0,54.0,78.0,20.0,19.0,117.0,0.6666666666666666,0.17094017094017094,1521.0,70038.0,7.1
Rice,739.0,36.0,82.0,64.0,26.0,20.0,110.0,0.5818181818181818,0.23636363636363636,1296.0,60598.0,8.9
Sorghum,491.0,29.0,50.0,71.0,27.0,22.0,120.0,0.5916666666666667,0.225,841.0,24550.0,14.0
Sorghum,766.0,22.0,67.0,60.0,17.0,12.0,89.0,0.6741573033707865,0.19101123595505617,484.0,51322.0,7.0
Sorghum,1355.0,37.0,81.0,82.0,20.0,20.0,122.0,0.6721311475409836,0.16393442622950818,1369.0,109755.0,10.1
Soybean,854.0,37.0,96.0,64.0,26.0,22.0,112.0,0.5714285714285714,0.23214285714285715,1369.0,81984.0,9.2
Wheat,827.0,36.0,98.0,67.0,16.0,14.0,97.0,0.6907216494845361,0.16494845360824742,1296.0,81046.0,5.2
Barley,908.0,22.0,60.0,72.0,22.0,17.0,111.0,0.6486486486486487,0.1981981981981982,484.0,54480.0,12.9
Sorghum,1175.0,22.0,70.0,67.0,16.0,17.0,100.0,0.67,0.16,484.0,82250.0,5.7
Barley,1342.0,25.0,75.0,84.0,25.0,13.0,122.0,0.6885245901639344,0.20491803278688525,625.0,100650.0,9.7
Sorghum,434.0,32.0,74.0,82.0,21.0,24.0,127.0,0.6456692913385826,0.16535433070866143,1024.0,32116.0,10.6
Soybean,605.0,34.0,71.0,70.0,23.0,24.0,117.0,0.5982905982905983,0.19658119658119658,1156.0,42955.0,11.3
Wheat,480.0,28.0,76.0,60.0,15.0,21.0,96.0,0.625,0.15625,784.0,36480.0,11.9
Wheat,1331.0,23.0,98.0,72.0,22.0,20.0,114.0,0.631578947368421,0.19298245614035087,529.0,130438.0,7.5
Sorghum,961.0,33.0,62.0,78.0,21.0,20.0,119.0,0.6554621848739496,0.17647058823529413,1089.0,59582.0,5.1
Soybean,1271.0,24.0,82.0,83.0,20.0,10.0,113.0,0.7345132743362832,0.17699115044247787,576.0,104222.0,12.2
Corn,787.0,21.0,83.0,62.0,20.0,10.0,92.0,0.6739130434782609,0.21739130434782608,441.0,65321.0,10.4
Barley,401.0,30.0,90.0,83.0,20.0,24.0,127.0,0.6535433070866141,0.15748031496062992,900.0,36090.0,13.4
Barley,789.0,28.0,84.0,76.0,23.0,13.0,112.0,0.6785714285714286,0.20535714285714285,784.0,66276.0,13.2
Rice,965.0,22.0,50.0,64.0,16.0,15.0,95.0,0.6736842105263158,0.16842105263157894,484.0,48250.0,13.4
Soybean,505.0,28.0,70.0,79.0,15.0,17.0,111.0,0.7117117117117117,0.13513513513513514,784.0,35350.0,9.9
Rice,1171.0,22.0,97.0,80.0,27.0,15.0,122.0,0.6557377049180327,0.22131147540983606,484.0,113587.0,8.3
Sorghum,1221.0,21.0,55.0,67.0,26.0,21.0,114.0,0.5877192982456141,0.22807017543859648,441.0,67155.0,12.9
Rice,876.0,31.0,77.0,85.0,20.0,18.0,123.0,0.6910569105691057,0.16260162601626016,961.0,67452.0,9.5
Wheat,1102.0,29.0,66.0,73.0,24.0,24.0,121.0,0.6033057851239669,0.19834710743801653,841.0,72732.0,6.8
Barley,801.0,28.0,54.0,63.0,25.0,24.0,112.0,0.5625,0.22321428571428573,784.0,43254.0,13.5
Rice,1129.0,34.0,80.0,70.0,22.0,18.0,110.0,0.6363636363636364,0.2,1156.0,90320.0,13.8
Wheat,955.0,27.0,54.0,79.0,17.0,23.0,119.0,0.6638655462184874,0.14285714285714285,729.0,51570.0,9.7
Soybean,561.0,24.0,87.0,74.0,26.0,11.0,111.0,0.6666666666666666,0.23423423423423423,576.0,48807.0,5.8
Rice,601.0,30.0,52.0,78.0,24.0,19.0,121.0,0.6446280991735537,0.19834710743801653,900.0,31252.0,8.9
Sorghum,1357.0,21.0,72.0,66.0,15.0,10.0,91.0,0.7252747252747253,0.16483516483516483,441.0,97704.0,13.0
Sorghum,1395.0,34.0,86.0,78.0,23.0,11.0,112.0,0.6964285714285714,0.20535714285714285,1156.0,119970.0,14.0
Sorghum,669.0,25.0,86.0,87.0,27.0,14.0,128.0,0.6796875,0.2109375,625.0,57534.0,7.0
Barley,1262.0,27.0,59.0,78.0,27.0,13.0,118.0,0.6610169491525424,0.2288135593220339,729.0,74458.0,5.7
Rice,1215.0,24.0,59.0,70.0,15.0,13.0,98.0,0.7142857142857143,0.15306122448979592,576.0,71685.0,13.8
Soybean,670.0,35.0,68.0,85.0,17.0,18.0,120.0,0.7083333333333334,0.14166666666666666,1225.0,45560.0,8.9
Rice,855.0,37.0,66.0,64.0,22.0,20.0,106.0,0.6037735849056604,0.20754716981132076,1369.0,56430.0,10.4
Barley,861.0,25.0,70.0,64.0,28.0,17.0,109.0,0.5871559633027523,0.25688073394495414,625.0,60270.0,14.7
Wheat,1126.0,24.0,63.0,89.0,17.0,15.0,121.0,0.7355371900826446,0.14049586776859505,576.0,70938.0,5.7
Barley,651.0,35.0,58.0,81.0,27.0,10.0,118.0,0.6864406779661016,0.2288135593220339,1225.0,37758.0,11.5
Sorghum,1101.0,32.0,95.0,67.0,18.0,11.0,96.0,0.6979166666666666,0.1875,1024.0,104595.0,5.7
Wheat,695.0,24.0,50.0,69.0,22.0,15.0,106.0,0.6509433962264151,0.20754716981132076,576.0,34750.0,8.8
Sorghum,1124.0,32.0,94.0,65.0,15.0,20.0,100.0,0.65,0.15,1024.0,105656.0,13.0
Corn,1119.0,36.0,62.0,74.0,27.0,11.0,112.0,0.6607142857142857,0.24107142857142858,1296.0,69378.0,9.3
Barley,1148.0,37.0,53.0,75.0,27.0,24.0,126.0,0.5952380952380952,0.21428571428571427,1369.0,60844.0,15.0
Barley,737.0,27.0,50.0,87.0,20.0,22.0,129.0,0.6744186046511628,0.15503875968992248,729.0,36850.0,10.6
Soybean,1278.0,32.0,98.0,76.0,15.0,19.0,110.0,0.6909090909090909,0.13636363636363635,1024.0,125244.0,8.2
