rainfall,fertilizer,temperature,nitrogen,phosphorus,potassium,yield,crop_type
1170,53,27,83,25,22,14.8,Barley
1059,64,37,64,15,17,13.2,Rice
1163,55,39,75,15,18,13.5,Rice
1354,98,34,85,20,12,14.4,Rice
1331,79,26,82,19,16,5.9,Soybean
802,87,30,79,22,23,8.9,Barley
745,51,39,63,16,21,5.7,Wheat
1362,64,35,83,18,23,7.1,Sorghum
910,60,23,89,22,18,7.3,Corn
546,57,25,83,26,20,9.7,Wheat
547,75,22,61,20,13,7.7,Soybean
1263,94,28,89,15,19,6.0,Sorghum
1110,93,29,77,29,24,6.7,Sorghum
1219,54,33,78,18,12,6.5,Sorghum
888,55,30,87,15,14,14.7,Rice
1328,75,37,87,27,10,12.6,Corn
1335,53,31,78,16,12,14.7,Soybean
1039,68,31,76,19,24,9.4,Soybean
950,69,32,73,28,17,7.8,Sorghum
737,82,32,78,22,20,13.0,Soybean
1271,69,38,81,22,17,8.3,Corn
1040,98,38,83,25,24,8.0,Corn
1178,61,33,72,17,22,7.3,Barley
1387,96,23,71,25,13,6.3,Barley
1352,50,32,89,27,11,7.6,Wheat
872,75,27,85,18,22,8.6,Corn
1345,63,38,65,24,17,11.7,Corn
550,87,31,80,25,17,5.6,Corn
814,86,37,63,28,19,7.1,Barley
1389,60,25,78,20,13,13.1,Sorghum
697,85,37,75,25,12,6.5,Sorghum
1010,62,38,72,25,11,8.4,Soybean
662,92,24,63,24,18,13.6,Sorghum
1163,52,28,89,17,10,6.5,Rice
543,82,22,82,16,16,5.8,Barley
745,55,29,76,20,14,9.8,Corn
1023,99,38,82,25,17,8.0,Sorghum
971,59,22,60,27,13,10.6,Barley
1280,54,34,77,29,16,13.0,Sorghum
401,72,20,79,19,22,6.4,Wheat
1296,59,26,76,28,14,10.8,Corn
703,93,31,86,24,24,10.1,Wheat
653,51,36,87,19,23,6.4,Corn
1051,62,39,86,24,14,11.2,Barley
852,89,24,74,27,23,7.7,Soybean
436,51,23,70,19,18,9.9,Sorghum
559,69,31,84,24,18,5.8,Sorghum
408,50,39,87,26,22,9.6,Rice
632,86,37,81,19,18,8.1,Wheat
498,58,36,72,17,21,13.2,Sorghum
1058,66,38,60,21,15,5.6,Barley
1215,58,28,76,20,15,9.2,Soybean
607,60,23,65,18,14,9.6,Barley
530,64,21,63,16,18,12.3,Wheat
803,73,23,79,26,19,10.7,Rice
551,87,21,75,23,17,11.7,Sorghum
453,84,34,74,15,16,12.8,Barley
519,79,21,86,27,16,13.6,Corn
1072,80,23,74,27,15,8.1,Soybean
1319,98,25,65,25,14,10.4,Barley
1027,54,26,74,29,22,13.4,Soybean
986,93,29,73,28,13,14.9,Sorghum
1024,99,38,87,18,12,13.9,Corn
1367,63,38,70,15,12,8.7,Rice
819,60,31,66,27,15,7.0,Rice
821,58,22,68,20,24,9.9,Corn
503,83,32,85,18,13,12.4,Soybean
1251,61,37,75,19,21,9.9,Sorghum
653,84,27,64,19,21,9.8,Barley
626,84,34,84,23,15,13.4,Corn
511,50,20,79,15,12,8.6,Wheat
909,89,22,88,27,24,13.6,Soybean
872,71,27,69,16,13,9.1,Rice
498,78,23,77,27,24,8.3,Corn
552,57,35,62,20,18,9.5,Rice
1260,60,29,72,19,14,12.6,Soybean
1313,90,31,70,25,22,6.3,Rice
1295,86,33,76,21,16,7.0,Corn
1277,63,33,89,17,19,14.5,Soybean
737,79,21,89,17,11,6.8,Wheat
1105,84,24,81,24,23,10.7,Corn
1221,70,24,72,16,23,10.8,Barley
562,86,25,65,27,14,9.9,Sorghum
1119,54,32,76,17,18,11.4,Corn
1356,68,28,86,24,20,7.3,Soybean
1080,63,34,72,15,12,10.5,Sorghum
1395,75,33,78,19,23,8.7,Corn
560,53,26,80,28,18,11.6,Wheat
979,74,39,78,29,23,6.4,Wheat
1200,94,21,69,26,20,10.7,Barley
797,91,26,62,19,24,6.9,Rice
676,74,25,73,26,15,7.8,Sorghum
1215,67,36,85,25,13,7.2,Soybean
1315,89,21,78,21,16,6.8,Soybean
903,57,22,64,18,17,13.3,Rice
1295,88,24,88,17,15,7.9,Wheat
791,89,24,64,15,14,14.3,Wheat
534,63,20,79,26,15,14.7,Corn
594,81,27,76,29,14,10.7,Barley
800,87,31,80,22,17,6.4,Sorghum
1039,82,23,69,27,10,8.7,Barley
432,72,32,64,17,20,13.0,Barley
1087,64,34,63,27,16,8.7,Corn
859,82,30,65,29,24,5.9,Barley
1354,74,29,85,16,19,10.6,Rice
1282,66,22,63,25,19,13.5,Corn
869,82,33,89,18,20,13.0,Rice
774,96,35,66,17,11,6.8,Corn
421,51,29,66,27,24,11.7,Barley
1149,63,29,77,15,23,7.2,Rice
1069,89,31,62,17,18,7.2,Rice
437,89,28,60,26,10,13.7,Rice
629,88,20,83,16,20,7.5,Corn
764,55,24,84,22,19,7.6,Soybean
962,55,39,63,20,15,5.0,Barley
837,52,27,65,23,18,13.7,Rice
1175,56,30,68,22,10,12.9,Sorghum
682,57,31,81,24,13,11.3,Soybean
426,91,20,73,17,13,12.5,Sorghum
625,64,39,87,19,24,6.5,Barley
676,96,30,71,21,18,9.6,Barley
1197,78,24,87,19,20,8.5,Rice
1008,82,34,84,22,14,5.9,Rice
683,79,24,79,26,14,9.9,Corn
1278,88,31,83,19,15,14.2,Soybean
1359,76,24,84,15,10,5.4,Soybean
880,85,36,63,19,10,7.9,Rice
852,78,36,80,18,24,7.1,Barley
1228,87,31,89,20,18,7.4,Rice
1215,82,34,83,17,12,14.1,Barley
1058,86,34,71,29,13,9.7,Barley
915,76,25,69,25,10,9.7,Rice
946,82,31,89,19,18,12.6,Wheat
591,53,39,81,16,24,6.5,Soybean
448,71,37,87,25,17,9.9,Sorghum
911,51,33,66,20,11,9.3,Barley
416,59,21,62,27,17,11.0,Barley
571,54,28,82,29,24,15.0,Wheat
619,59,24,87,26,16,12.7,Sorghum
557,82,39,73,20,20,9.0,Corn
876,87,20,83,19,15,13.3,Wheat
445,62,22,69,20,10,6.7,Sorghum
772,80,25,75,25,24,5.3,Wheat
917,96,24,75,21,16,7.0,Barley
498,85,24,81,26,19,8.4,Soybean
1291,94,20,69,19,16,10.1,Wheat
1144,73,36,84,15,22,11.2,Corn
436,64,38,72,22,23,14.1,Rice
679,78,33,65,18,18,10.1,Sorghum
748,57,31,71,23,10,10.0,Wheat
896,54,29,68,28,11,5.5,Wheat
701,78,39,72,24,20,5.3,Corn
580,96,37,63,26,18,10.5,Soybean
1006,53,30,83,20,22,9.4,Wheat
498,61,21,70,15,18,13.4,Wheat
1099,94,37,79,17,22,6.6,Soybean
1392,51,26,77,17,15,5.2,Corn
515,76,34,85,24,15,9.5,Sorghum
590,80,30,70,26,13,7.4,Sorghum
652,85,37,84,26,13,5.5,Wheat
1380,85,31,80,18,14,12.2,Soybean
1327,75,25,63,20,12,6.1,Wheat
1382,92,39,77,29,10,11.1,Rice
560,76,32,60,21,24,7.8,Sorghum
655,54,39,86,24,10,6.7,Barley
722,69,35,66,18,21,8.8,Rice
527,60,37,65,20,24,13.0,Wheat
417,59,29,74,25,22,8.9,Corn
1192,89,27,77,15,16,12.5,Sorghum
1134,87,37,83,28,10,6.3,Barley
965,55,20,70,22,10,12.7,Rice
969,57,27,79,21,12,7.4,Sorghum
722,72,25,83,29,19,11.8,Soybean
1271,96,24,74,25,24,10.7,Corn
1085,75,34,75,25,13,14.3,Rice
1191,95,34,66,23,13,8.9,Soybean
1025,92,21,80,17,11,5.7,Wheat
687,61,20,69,16,10,5.2,Soybean
1342,75,30,85,15,12,13.3,Rice
1253,62,29,71,17,20,10.2,Rice
1062,89,37,83,19,13,12.8,Wheat
1361,67,37,73,28,12,7.3,Soybean
1038,74,36,84,25,17,8.5,Soybean
554,82,27,64,16,23,5.3,Wheat
889,96,34,85,26,19,14.6,Soybean
785,89,27,80,17,10,11.7,Sorghum
1385,92,36,77,29,23,14.3,Wheat
1184,61,31,64,29,11,7.7,Corn
503,93,27,62,29,22,11.1,Rice
1328,85,33,82,18,16,11.8,Corn
792,97,23,85,21,13,8.2,Sorghum
1210,53,20,64,27,17,13.5,Sorghum
645,54,20,83,17,20,14.5,Barley
575,86,38,76,29,22,13.8,Barley
438,57,35,78,23,12,12.4,Barley
876,91,33,78,22,15,7.8,Wheat
1081,98,35,84,18,18,7.8,Soybean
1158,77,24,80,27,10,14.6,Sorghum
937,80,28,71,15,10,5.1,Corn
1266,58,21,84,15,17,12.2,Corn
1217,78,37,88,15,12,12.1,Corn
1320,63,25,68,15,14,11.2,Corn
807,89,28,60,22,10,14.9,Barley
924,90,20,77,17,14,8.1,Corn
1227,71,28,80,29,20,8.4,Soybean
905,60,35,63,20,15,5.8,Barley
1302,72,32,69,17,17,9.4,Corn
1224,50,28,84,25,22,7.6,Wheat
435,95,32,66,19,23,8.4,Rice
1084,86,28,81,27,12,13.3,Rice
419,70,30,82,29,12,14.4,Rice
720,75,23,60,28,21,6.9,Barley
1175,95,21,76,27,20,8.7,Corn
911,85,25,83,29,20,14.3,Sorghum
799,72,33,88,21,19,5.6,Sorghum
1053,50,23,88,16,18,5.9,Sorghum
1371,89,25,61,20,13,6.6,Barley
1282,64,38,87,27,24,11.0,Soybean
870,70,25,85,20,13,6.5,Wheat
542,96,21,70,25,21,14.7,Wheat
491,58,37,68,17,16,9.5,Rice
753,58,32,66,20,11,10.0,Rice
1233,59,28,81,24,17,7.5,Sorghum
1199,75,38,76,24,15,9.7,Sorghum
1126,90,32,76,28,12,11.6,Rice
1358,84,30,61,19,18,12.5,Corn
1253,74,20,65,26,14,12.5,Soybean
450,75,26,73,16,17,10.8,Soybean
1064,60,34,65,23,16,14.0,Soybean
1097,87,20,61,22,23,13.2,Soybean
974,51,31,60,17,17,12.6,Rice
589,56,26,69,22,16,5.6,Wheat
